model,n_clusters,silhouette,calinski_harabasz,davies_bouldin,cluster_balance,stability_ari
kmeans,2,0.4399923322445063,36723.58907806279,1.2745216281634189,0.16013,0.9997287442581885
kmeans,4,0.3437801011171059,41639.508522244236,1.0251722369549197,0.05848,0.9982003171570142
kmeans,6,0.31699753797271185,38641.53933628981,0.9998091867638378,0.02156,0.994943341854666
kmeans,3,0.31467626115850106,39158.28326038884,1.149816120406557,0.13074,0.9954335327711928
gmm,2,0.30833419318295857,29503.737168064665,1.5942428514759115,0.30112,0.9997265052303725
kmeans,5,0.3018438580114847,40324.098494257996,1.0628225077062945,0.05733,0.9790803136088099
gmm,4,0.08645858823682111,19313.68615884185,2.291099980183562,0.12968,0.9642864987192138
gmm,5,0.05931698724435789,16982.79787870135,2.809071765489621,0.10887,0.9921488935662733
gmm,3,0.05245936570623453,18014.781134932764,2.7259986695593987,0.24859,0.999719605310117
gmm,6,0.04084546577957327,14501.874363293113,3.4567549250300647,0.09472,0.7154127691843296
